,x,region,y,title
1,1985,Gulf of Mexico,25.6444524,SST
2,1986,Gulf of Mexico,25.68853222,SST
3,1987,Gulf of Mexico,25.30964629,SST
4,1988,Gulf of Mexico,25.18152001,SST
5,1989,Gulf of Mexico,25.84037933,SST
6,1990,Gulf of Mexico,25.84588575,SST
7,1991,Gulf of Mexico,25.92398498,SST
8,1992,Gulf of Mexico,25.41505404,SST
9,1993,Gulf of Mexico,25.51098981,SST
10,1994,Gulf of Mexico,25.77372461,SST
11,1995,Gulf of Mexico,25.86466595,SST
12,1996,Gulf of Mexico,25.46403217,SST
13,1997,Gulf of Mexico,25.78732694,SST
14,1998,Gulf of Mexico,25.82194186,SST
15,1999,Gulf of Mexico,25.97376159,SST
16,2000,Gulf of Mexico,25.95820932,SST
17,2001,Gulf of Mexico,25.75507469,SST
18,2002,Gulf of Mexico,26.04805687,SST
19,2003,Gulf of Mexico,25.92054027,SST
20,2004,Gulf of Mexico,25.95115614,SST
21,2005,Gulf of Mexico,25.95465458,SST
22,2006,Gulf of Mexico,26.13428459,SST
23,2007,Gulf of Mexico,26.06438048,SST
24,2008,Gulf of Mexico,25.91672838,SST
25,2009,Gulf of Mexico,26.14856719,SST
26,2010,Gulf of Mexico,25.5763569,SST
27,2011,Gulf of Mexico,25.88702074,SST
28,2012,Gulf of Mexico,26.2967485,SST
29,2013,Gulf of Mexico,26.04695141,SST
30,2014,Gulf of Mexico,25.98676036,SST
31,2015,Gulf of Mexico,26.56748065,SST
32,2016,Gulf of Mexico,26.60401196,SST
33,2017,Gulf of Mexico,26.43650563,SST
34,2018,Gulf of Mexico,26.39239999,SST
35,2019,Gulf of Mexico,26.4702536,SST
36,2020,Gulf of Mexico,26.54069198,SST
37,2021,Gulf of Mexico,26.35603239,SST
38,1985,Insular Hawaiian LME,24.14512791,SST
39,1986,Insular Hawaiian LME,24.34697402,SST
40,1987,Insular Hawaiian LME,24.20851001,SST
41,1988,Insular Hawaiian LME,24.8658501,SST
42,1989,Insular Hawaiian LME,24.64151144,SST
43,1990,Insular Hawaiian LME,24.38508454,SST
44,1991,Insular Hawaiian LME,24.4678353,SST
45,1992,Insular Hawaiian LME,24.17391649,SST
46,1993,Insular Hawaiian LME,24.28052403,SST
47,1994,Insular Hawaiian LME,24.38555297,SST
48,1995,Insular Hawaiian LME,24.47145959,SST
49,1996,Insular Hawaiian LME,24.58978779,SST
50,1997,Insular Hawaiian LME,24.33908646,SST
51,1998,Insular Hawaiian LME,24.22800934,SST
52,1999,Insular Hawaiian LME,24.63420171,SST
53,2000,Insular Hawaiian LME,24.87139694,SST
54,2001,Insular Hawaiian LME,24.81242207,SST
55,2002,Insular Hawaiian LME,24.68639303,SST
56,2003,Insular Hawaiian LME,24.68071205,SST
57,2004,Insular Hawaiian LME,24.79025605,SST
58,2005,Insular Hawaiian LME,24.74933243,SST
59,2006,Insular Hawaiian LME,24.85261508,SST
60,2007,Insular Hawaiian LME,24.88790535,SST
61,2008,Insular Hawaiian LME,24.92947765,SST
62,2009,Insular Hawaiian LME,24.740115,SST
63,2010,Insular Hawaiian LME,24.66583302,SST
64,2011,Insular Hawaiian LME,24.92119075,SST
65,2012,Insular Hawaiian LME,24.72240051,SST
66,2013,Insular Hawaiian LME,24.84723207,SST
67,2014,Insular Hawaiian LME,24.97944626,SST
68,2015,Insular Hawaiian LME,24.94087916,SST
69,2016,Insular Hawaiian LME,25.00397675,SST
70,2017,Insular Hawaiian LME,25.22475369,SST
71,2018,Insular Hawaiian LME,24.75403704,SST
72,2019,Insular Hawaiian LME,25.27465134,SST
73,2020,Insular Hawaiian LME,25.25334169,SST
74,2021,Insular Hawaiian LME,25.15517295,SST
75,1985,Gulf of Alaska,8.515761848,SST
76,1986,Gulf of Alaska,9.002719992,SST
77,1987,Gulf of Alaska,9.112746473,SST
78,1988,Gulf of Alaska,8.684430148,SST
79,1989,Gulf of Alaska,8.898933032,SST
80,1990,Gulf of Alaska,8.92108303,SST
81,1991,Gulf of Alaska,8.642990168,SST
82,1992,Gulf of Alaska,9.010245153,SST
83,1993,Gulf of Alaska,9.325611987,SST
84,1994,Gulf of Alaska,9.102838525,SST
85,1995,Gulf of Alaska,8.934724093,SST
86,1996,Gulf of Alaska,8.816184308,SST
87,1997,Gulf of Alaska,9.506685768,SST
88,1998,Gulf of Alaska,9.275232775,SST
89,1999,Gulf of Alaska,8.210868682,SST
90,2000,Gulf of Alaska,8.694601304,SST
91,2001,Gulf of Alaska,8.679192175,SST
92,2002,Gulf of Alaska,8.9516919,SST
93,2003,Gulf of Alaska,9.530658642,SST
94,2004,Gulf of Alaska,9.565696553,SST
95,2005,Gulf of Alaska,9.63207961,SST
96,2006,Gulf of Alaska,8.888619408,SST
97,2007,Gulf of Alaska,8.526301386,SST
98,2008,Gulf of Alaska,8.046552961,SST
99,2009,Gulf of Alaska,8.427157001,SST
100,2010,Gulf of Alaska,8.75875042,SST
101,2011,Gulf of Alaska,8.572931922,SST
102,2012,Gulf of Alaska,8.257166193,SST
103,2013,Gulf of Alaska,8.974058142,SST
104,2014,Gulf of Alaska,9.786009248,SST
105,2015,Gulf of Alaska,10.158024,SST
106,2016,Gulf of Alaska,10.19098828,SST
107,2017,Gulf of Alaska,9.295082234,SST
108,2018,Gulf of Alaska,9.665048821,SST
109,2019,Gulf of Alaska,10.04469629,SST
110,2020,Gulf of Alaska,9.477900378,SST
111,2021,Gulf of Alaska,8.941767708,SST
112,1985,Northeast,12.13666757,SST
113,1986,Northeast,11.99179314,SST
114,1987,Northeast,11.23875004,SST
115,1988,Northeast,11.19181103,SST
116,1989,Northeast,11.85691561,SST
117,1990,Northeast,12.21234341,SST
118,1991,Northeast,12.21372679,SST
119,1992,Northeast,11.13508341,SST
120,1993,Northeast,11.59908298,SST
121,1994,Northeast,11.95948862,SST
122,1995,Northeast,12.23505433,SST
123,1996,Northeast,10.96857867,SST
124,1997,Northeast,11.6557925,SST
125,1998,Northeast,12.03102201,SST
126,1999,Northeast,12.94209875,SST
127,2000,Northeast,12.33482039,SST
128,2001,Northeast,12.42249847,SST
129,2002,Northeast,12.84379733,SST
130,2003,Northeast,11.75342295,SST
131,2004,Northeast,11.58017365,SST
132,2005,Northeast,11.90934686,SST
133,2006,Northeast,12.58893613,SST
134,2007,Northeast,12.16429816,SST
135,2008,Northeast,12.25996874,SST
136,2009,Northeast,12.18437333,SST
137,2010,Northeast,12.62645801,SST
138,2011,Northeast,12.58172823,SST
139,2012,Northeast,13.67958162,SST
140,2013,Northeast,12.61235968,SST
141,2014,Northeast,12.45280471,SST
142,2015,Northeast,12.76369136,SST
143,2016,Northeast,13.12305466,SST
144,2017,Northeast,12.77854083,SST
145,2018,Northeast,12.74901176,SST
146,2019,Northeast,12.58316307,SST
147,2020,Northeast,12.94570819,SST
148,2021,Northeast,13.4195433,SST
149,1985,Southeast,25.00833377,SST
150,1986,Southeast,25.27411675,SST
151,1987,Southeast,24.99524805,SST
152,1988,Southeast,24.45949226,SST
153,1989,Southeast,24.99315067,SST
154,1990,Southeast,25.28111524,SST
155,1991,Southeast,25.11069648,SST
156,1992,Southeast,24.65538284,SST
157,1993,Southeast,24.74339336,SST
158,1994,Southeast,24.83218694,SST
159,1995,Southeast,24.9936288,SST
160,1996,Southeast,24.46143695,SST
161,1997,Southeast,25.13927229,SST
162,1998,Southeast,25.14803031,SST
163,1999,Southeast,25.07234417,SST
164,2000,Southeast,24.89730869,SST
165,2001,Southeast,24.85084191,SST
166,2002,Southeast,25.31289039,SST
167,2003,Southeast,25.14564364,SST
168,2004,Southeast,24.93597957,SST
169,2005,Southeast,24.86445693,SST
170,2006,Southeast,24.80804065,SST
171,2007,Southeast,25.21684149,SST
172,2008,Southeast,24.92160994,SST
173,2009,Southeast,25.01871456,SST
174,2010,Southeast,25.0068892,SST
175,2011,Southeast,25.05721553,SST
176,2012,Southeast,25.12213057,SST
177,2013,Southeast,25.00169804,SST
178,2014,Southeast,25.25907885,SST
179,2015,Southeast,25.53426144,SST
180,2016,Southeast,25.62263282,SST
181,2017,Southeast,25.49500052,SST
182,2018,Southeast,25.33782457,SST
183,2019,Southeast,25.6226658,SST
184,2020,Southeast,25.72095369,SST
185,2021,Southeast,25.28189514,SST
186,1985,Caribbean,27.19861712,SST
187,1986,Caribbean,27.14096256,SST
188,1987,Caribbean,27.71495185,SST
189,1988,Caribbean,27.56669256,SST
190,1989,Caribbean,27.28122152,SST
191,1990,Caribbean,27.45728648,SST
192,1991,Caribbean,27.35170148,SST
193,1992,Caribbean,27.42134743,SST
194,1993,Caribbean,27.48539815,SST
195,1994,Caribbean,27.48012585,SST
196,1995,Caribbean,27.81595008,SST
197,1996,Caribbean,27.42478968,SST
198,1997,Caribbean,27.50618066,SST
199,1998,Caribbean,27.92301481,SST
200,1999,Caribbean,27.63089169,SST
201,2000,Caribbean,27.28432005,SST
202,2001,Caribbean,27.3736136,SST
203,2002,Caribbean,27.65803679,SST
204,2003,Caribbean,27.92371044,SST
205,2004,Caribbean,27.72245298,SST
206,2005,Caribbean,28.04429022,SST
207,2006,Caribbean,27.90450064,SST
208,2007,Caribbean,27.92964235,SST
209,2008,Caribbean,27.74295996,SST
210,2009,Caribbean,27.73975384,SST
211,2010,Caribbean,28.16915066,SST
212,2011,Caribbean,27.94055946,SST
213,2012,Caribbean,27.84478196,SST
214,2013,Caribbean,27.87239332,SST
215,2014,Caribbean,27.81712702,SST
216,2015,Caribbean,27.88316071,SST
217,2016,Caribbean,28.14385804,SST
218,2017,Caribbean,28.05006647,SST
219,2018,Caribbean,27.72424273,SST
220,2019,Caribbean,28.04977176,SST
221,2020,Caribbean,28.27544993,SST
222,2021,Caribbean,27.98926775,SST
223,1985,California Current,16.42770546,SST
224,1986,California Current,16.74524374,SST
225,1987,California Current,16.65294252,SST
226,1988,California Current,16.22783112,SST
227,1989,California Current,16.43378737,SST
228,1990,California Current,16.97276205,SST
229,1991,California Current,16.20099703,SST
230,1992,California Current,17.53789957,SST
231,1993,California Current,17.00001621,SST
232,1994,California Current,16.87581364,SST
233,1995,California Current,16.96622392,SST
234,1996,California Current,16.95001037,SST
235,1997,California Current,17.51958355,SST
236,1998,California Current,16.87805405,SST
237,1999,California Current,15.6363268,SST
238,2000,California Current,16.33429061,SST
239,2001,California Current,16.25213721,SST
240,2002,California Current,16.11656898,SST
241,2003,California Current,16.83804087,SST
242,2004,California Current,16.8628272,SST
243,2005,California Current,16.65165284,SST
244,2006,California Current,16.61963613,SST
245,2007,California Current,16.22812546,SST
246,2008,California Current,16.0377568,SST
247,2009,California Current,16.54002471,SST
248,2010,California Current,16.11481753,SST
249,2011,California Current,16.01161716,SST
250,2012,California Current,16.24561519,SST
251,2013,California Current,16.63123388,SST
252,2014,California Current,17.94668682,SST
253,2015,California Current,18.43738277,SST
254,2016,California Current,17.57558244,SST
255,2017,California Current,17.08140727,SST
256,2018,California Current,17.25063723,SST
257,2019,California Current,17.22257607,SST
258,2020,California Current,17.22449795,SST
259,2021,California Current,16.59599029,SST
260,1985,Eastern Bering Sea,5.173574831,SST
261,1986,Eastern Bering Sea,5.332493452,SST
262,1987,Eastern Bering Sea,5.426407556,SST
263,1988,Eastern Bering Sea,5.231122135,SST
264,1989,Eastern Bering Sea,5.233893798,SST
265,1990,Eastern Bering Sea,5.493053119,SST
266,1991,Eastern Bering Sea,5.85712886,SST
267,1992,Eastern Bering Sea,5.249131997,SST
268,1993,Eastern Bering Sea,5.556766543,SST
269,1994,Eastern Bering Sea,5.306608656,SST
270,1995,Eastern Bering Sea,5.498604173,SST
271,1996,Eastern Bering Sea,5.522892105,SST
272,1997,Eastern Bering Sea,5.848112098,SST
273,1998,Eastern Bering Sea,4.863139608,SST
274,1999,Eastern Bering Sea,4.801795015,SST
275,2000,Eastern Bering Sea,5.061323602,SST
276,2001,Eastern Bering Sea,4.892598914,SST
277,2002,Eastern Bering Sea,5.644017937,SST
278,2003,Eastern Bering Sea,5.995290928,SST
279,2004,Eastern Bering Sea,6.054702061,SST
280,2005,Eastern Bering Sea,5.822178676,SST
281,2006,Eastern Bering Sea,5.505437979,SST
282,2007,Eastern Bering Sea,5.227997307,SST
283,2008,Eastern Bering Sea,5.563705154,SST
284,2009,Eastern Bering Sea,5.399365488,SST
285,2010,Eastern Bering Sea,5.440820443,SST
286,2011,Eastern Bering Sea,5.361219093,SST
287,2012,Eastern Bering Sea,5.248826032,SST
288,2013,Eastern Bering Sea,5.784368675,SST
289,2014,Eastern Bering Sea,6.393422972,SST
290,2015,Eastern Bering Sea,6.250661358,SST
291,2016,Eastern Bering Sea,6.863974471,SST
292,2017,Eastern Bering Sea,6.102831934,SST
293,2018,Eastern Bering Sea,6.130710633,SST
294,2019,Eastern Bering Sea,6.445126031,SST
295,2020,Eastern Bering Sea,6.308114006,SST
296,2021,Eastern Bering Sea,6.015241028,SST
297,1985,National,18.03128011,SST
298,1986,National,18.19035448,SST
299,1987,National,18.08240035,SST
300,1988,National,17.92609367,SST
301,1989,National,18.1474741,SST
302,1990,National,18.3210767,SST
303,1991,National,18.22113264,SST
304,1992,National,18.07475762,SST
305,1993,National,18.18772288,SST
306,1994,National,18.21454248,SST
307,1995,National,18.34753887,SST
308,1996,National,18.02471401,SST
309,1997,National,18.41275503,SST
310,1998,National,18.2710556,SST
311,1999,National,18.11278605,SST
312,2000,National,18.17953386,SST
313,2001,National,18.12979738,SST
314,2002,National,18.40768165,SST
315,2003,National,18.47350247,SST
316,2004,National,18.43290553,SST
317,2005,National,18.45349902,SST
318,2006,National,18.41275883,SST
319,2007,National,18.2806865,SST
320,2008,National,18.17734495,SST
321,2009,National,18.27475889,SST
322,2010,National,18.29488452,SST
323,2011,National,18.29168536,SST
324,2012,National,18.42715632,SST
325,2013,National,18.4712869,SST
326,2014,National,18.82766703,SST
327,2015,National,19.06694268,SST
328,2016,National,19.14100993,SST
329,2017,National,18.80802357,SST
330,2018,National,18.7504891,SST
331,2019,National,18.964113,SST
332,2020,National,18.96833223,SST
333,2021,National,18.71936382,SST
