Heatwave Spatial Coverage,,,,,,,,,,,,,,,,,,,,,,,
Proportion of LME Impacted,,,,,,,,,,,,,,,,,,,,,,,
Year,California Current,Gulf Of Mexico,Caribbean,Southeast,Northeast,Great Lakes,Gulf of Alaska,Eastern Bering Sea,Chukchi Sea,Beaufort Sea,Hawaiian Insular LME,Lake Ontario,Lake Michigan,Lake Huron,Lake Erie,Lake Superior,American Samoa,Jarvis Island,Kingman Reef & Palmyra Atoll,Howland & Baker Islands,Johnson Atoll,Wake Island,Guam & CNMI
1982,0.61,0.97,0.04,0.95,0.66,0.602,0.27,0.71,0.37,0.09,0.34,0.24,0.22,0.73,0.9,0.92,0.87,0.99,0.99,0.99,0.88,0.12,0.45
1983,0.91,0.53,0.66,0.96,0.77,0.99,0.98,0.78,0.59,0.47,0.51,0.99,0.99,0.99,0.99,0.99,0.52,0.99,0.49,0.75,0.19,0.55,0.6
1984,0.82,0.52,0.21,0.94,0.95,0.58,0.99,0.92,0.44,0.26,0.99,0.99,0.3,0.48,0.99,0.14,0.59,0.03,0,0.01,0.97,0.98,0.81
1985,0.31,0.68,0.03,0.7,0.92,0.418,0.64,0.77,0.47,0.05,0.27,0.58,0.56,0.39,0.34,0.22,0.04,0,0.04,0,0.02,0.36,0.1
1986,0.87,0.85,0,0.92,0.81,0.288,0.93,0.8,0.68,0.32,0.48,0,0.06,0.15,0.76,0.47,0.08,0.25,0.46,0.87,0.99,0.04,0.14
1987,0.81,0.41,0.81,0.96,0.46,0.968,0.86,0.63,0.29,0.85,0.7,0.99,0.99,0.99,0.88,0.99,0.06,0.99,0.97,0.99,0.91,0.23,0.2
1988,0.43,0.25,0.5,0.2,0.33,0.68,0.4,0.48,0.48,0.02,0.97,0.99,0.59,0.72,0.99,0.11,0.39,0.02,0.24,0.38,0.86,0.26,0.8
1989,0.82,0.77,0.11,0.66,0.75,0.052,0.64,0.6,0.62,0.34,0.75,0,0.05,0.06,0.14,0.01,0.06,0,0.05,0.01,0.7,0.48,0.74
1990,0.9,0.82,0.22,0.78,0.86,0.122,0.53,0.59,0.55,0.12,0.29,0.27,0.18,0.03,0.12,0.01,0.38,0.01,0.92,0.89,0.52,0.03,0.24
1991,0.26,0.77,0,0.85,0.79,0.708,0.22,0.86,0.9,0.27,0.57,0.99,0.68,0.68,0.99,0.2,0.89,0.99,0.99,0.98,0.53,0.42,0.29
1992,0.99,0.46,0,0.38,0.15,0.712,0.45,0.35,0.29,0.05,0.45,0.33,0.87,0.73,0.99,0.64,0.99,0.92,0.99,0.96,0.98,0,0.14
1993,0.89,0.75,0.14,0.59,0.4,0.334,0.89,0.86,0.92,0.95,0.33,0.27,0.04,0.39,0.9,0.07,0.89,0.24,0.77,0.83,0.84,0.26,0.19
1994,0.9,0.78,0.04,0.84,0.84,0.822,0.71,0.59,0.67,0.25,0.63,0.3,0.85,0.98,0.99,0.99,0.86,0.99,0.99,0.99,0.86,0.66,0.94
1995,0.98,0.97,0.62,0.73,0.88,0.916,0.49,0.88,0.85,0.86,0.8,0.82,0.9,0.98,0.99,0.89,0.99,0.27,0.99,0.96,0.99,0.84,0.67
1996,0.92,0.51,0.62,0.34,0.22,0.738,0.54,0.89,0.73,0.39,0.87,0.91,0.78,0.97,0.98,0.05,0.15,0,0.33,0.01,0.99,0.99,0.6
1997,0.99,0.84,0.61,0.86,0.18,0.276,0.99,0.99,0.96,0.76,0.85,0.06,0.3,0.09,0.1,0.83,0.14,0.99,0.99,0.99,0.79,0.84,0.27
1998,0.95,0.97,0.99,0.96,0.39,0.99,0.87,0.66,0.72,0.86,0.68,0.99,0.99,0.99,0.99,0.99,0.83,0.99,0.52,0.3,0,0.48,0.71
1999,0.04,0.99,0.92,0.91,0.95,0.95,0.23,0.1,0.36,0.09,0.54,0.99,0.99,0.99,0.99,0.79,0.67,0,0,0,0,0.99,0.99
2000,0.36,0.9,0.38,0.52,0.9,0.982,0.47,0.63,0.77,0.41,0.6,0.99,0.99,0.99,0.99,0.95,0.44,0,0.01,0,0.08,0.99,0.93
2001,0.24,0.87,0.36,0.45,0.87,0.876,0.63,0.62,0.6,0.08,0.69,0.99,0.99,0.99,0.99,0.42,0.75,0,0.37,0.27,0.04,0.94,0.99
2002,0.44,0.98,0.75,0.97,0.97,0.958,0.96,0.73,0.85,0.65,0.81,0.99,0.99,0.99,0.99,0.83,0.99,0.99,0.99,0.99,0.99,0.87,0.61
2003,0.89,0.85,0.99,0.95,0.62,0.396,0.99,0.99,0.89,0.52,0.71,0.42,0.34,0.72,0.22,0.28,0.99,0.12,0.54,0.99,0.99,0.63,0.99
2004,0.8,0.93,0.6,0.68,0.35,0.752,0.99,0.98,0.96,0.84,0.97,0.45,0.99,0.99,0.99,0.34,0.97,0.08,0.83,0.99,0.99,0.93,0.81
2005,0.96,0.84,0.99,0.99,0.96,0.99,0.99,0.99,0.94,0.38,0.94,0.99,0.99,0.99,0.99,0.99,0.99,0.32,0.9,0.94,0.99,0.99,0.78
2006,0.54,0.99,0.99,0.74,0.97,0.99,0.82,0.85,0.75,0.79,0.92,0.99,0.99,0.99,0.99,0.99,0.99,0.34,0.89,0.99,0.99,0.73,0.87
2007,0.53,0.97,0.99,0.96,0.89,0.99,0.2,0.62,0.98,0.93,0.75,0.99,0.99,0.99,0.99,0.99,0.99,0,0.14,0.09,0.38,0.99,0.98
2008,0.18,0.83,0.29,0.89,0.92,0.516,0.02,0.5,0.49,0.92,0.85,0.52,0.55,0.38,0.6,0.53,0.12,0,0,0,0.25,0.99,0.99
2009,0.62,0.99,0.99,0.93,0.99,0.912,0.16,0.28,0.84,0.9,0.95,0.76,0.95,0.95,0.99,0.91,0.89,0.99,0.99,0.99,0.99,0.99,0.98
2010,0.2,0.99,0.99,0.99,0.99,0.99,0.6,0.39,0.88,0.79,0.73,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.79,0.99,0.61,0.44,0.97
2011,0.36,0.99,0.56,0.92,0.99,0.93,0.28,0.59,0.8,0.91,0.91,0.99,0.89,0.85,0.99,0.93,0.37,0,0.01,0,0.93,0.99,0.61
2012,0.37,0.99,0.98,0.9,0.99,0.99,0.02,0.18,0.42,0.93,0.62,0.99,0.99,0.99,0.99,0.99,0.99,0.71,0.1,0,0.21,0.99,0.83
2013,0.58,0.8,0.96,0.82,0.93,0.954,0.74,0.91,0.67,0.47,0.94,0.99,0.99,0.99,0.99,0.81,0.99,0.33,0.35,0.08,0.77,0.98,0.99
2014,0.99,0.96,0.99,0.96,0.99,0.338,0.99,0.99,0.75,0.6,0.99,0.55,0.04,0.03,0.99,0.08,0.99,0.18,0.95,0.99,0.99,0.99,0.99
2015,0.99,0.99,0.99,0.99,0.99,0.986,0.99,0.99,0.93,0.62,0.95,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.47
2016,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.81,0.99,0.99,0.99,0.99,0.99
2017,0.9,0.99,0.99,0.99,0.97,0.99,0.89,0.99,0.98,0.89,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.15,0.69,0.03,0.99,0.99,0.99
2018,0.95,0.99,0.9,0.99,0.99,0.888,0.99,0.99,0.96,0.26,0.84,0.99,0.99,0.99,0.99,0.48,0.99,0.08,0.99,0.83,0.99,0.99,0.99
2019,0.99,0.99,0.99,0.99,0.98,0.536,0.99,0.99,0.85,0.91,0.99,0.79,0.5,0.09,0.99,0.31,0.99,0.98,0.99,0.99,0.99,0.99,0.99
2020,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.99,0.93,0.36,0.99,0.99,0.99,0.99,0.99,0.94,0.99,0,0.96,0.75,0.99,0.99,0.99
2021,0.7,0.99,0.99,0.95,0.99,0.99,0.87,0.95,0.35,0.24,0.94,0.99,0.99,0.99,0.99,0.99,0.99,0,0.08,0,0.92,0.99,0.99
2022,0.94,0.99,0.83,0.99,0.99,0.746,0.96,0.87,0.78,0.2,0.99,0.85,0.78,0.99,0.93,0.18,0.36,0,0.03,0,0.97,0.99,0.99
2023,0.99,0.99,0.99,0.99,0.99,0.99,0.91,0.96,0.87,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2024,0.8,0.99,0.34,0.94,0.89,0.978,0.39,0.6,0.1,0.01,0.7,0.99,0.93,0.99,0.99,0.99,0.99,0.97,0.99,0.92,0.99,0.5,0.67
